Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Rural and urban concerns,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Food and water security,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,"Transport, travel and tourism",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,The uses and applications of economics and mathematics,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Literature,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Non-fiction writing,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Language and culture,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,"Performing arts, music and entertainment",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,"Visual arts, including design and fashion",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Arts institutions and venues,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Traditional arts and crafts,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Print and digital media,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Social media,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Advertising,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Censorship and freedom of the media and the arts,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Selection and application of information,"Identify and understand the key terms in the question, and understand the scope and any restrictions in the question.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Selection and application of information,"Understand that there may be different points of view on a topic that may differ between groups of people in society, between traditional and contemporary perspectives, or between local, national and international contexts.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Selection and application of information,Apply information to provide specific details that answer the question.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Selection and application of information,Use examples to support or counter a range of arguments and develop ideas.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Analysis and evaluation,Make supported judgements by developing reasoned arguments using information and examples.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Analysis and evaluation,Analyse different aspects of the argument by breaking it down into distinct parts.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Analysis and evaluation,Discuss different viewpoints and perspectives such as those of different social or political groups or historical or ethical dimensions.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Analysis and evaluation,Evaluate the relative importance of different parts of the argument.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Analysis and evaluation,Structure an essay to logically connect different elements of the argument and lead to a judgement.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Analysis and evaluation,Form a conclusion that brings together different threads of an argument to answer the question.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Communication using written English,"Structure a response including punctuation, paragraphing and logical connectors within the conventions of essay writing.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Communication using written English,Express ideas clearly and coherently with control and accuracy.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Communication using written English,Use appropriate vocabulary and a formal register suitable for an essay.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 2 Comprehension skills,Selection and application of information,Select relevant information.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Selection and application of information,"Identify, understand and interpret information from a variety of sources.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Selection and application of information,"Understand implicit and explicit information, and identify opinions, emotions, bias and conflicts of interest.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Selection and application of information,Apply information to provide specific details that answer the question.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Selection and application of information,"Apply information to persuade by using facts, statistics and expert opinions.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Analysis and evaluation,Analyse the meaning of words and language features used in their context.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Analysis and evaluation,Make a judgement on what is most relevant to a question.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Analysis and evaluation,Develop explanations or justifications.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Analysis and evaluation,Summarise pieces of information.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Analysis and evaluation,Develop persuasive arguments using information from the text and their own ideas.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Communication using written English,Write for a specified audience.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Communication using written English,Use structure and language for a variety of purposes.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Communication using written English,Communicate information clearly and concisely.,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
Component 2 Comprehension skills,Communication using written English,"Use persuasive language features, e.g. emotive language, inclusive language, calls to action, rhetorical questions and certainty.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 2 Comprehension,8021/2,105,50,50
