Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Financial accounting (AS Level),The accounting system,the role of books of prime entry in the recording of business transactions: sales journal; sales returns journal; purchases journal; purchases returns journal; cash book; general journal,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,the role of books of prime entry in the recording of business transactions: sales journal; sales returns journal; purchases journal; purchases returns journal; cash book; general journal,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,the role of books of prime entry in the recording of business transactions: sales journal; sales returns journal; purchases journal; purchases returns journal; cash book; general journal,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,the role of books of prime entry in the recording of business transactions: sales journal; sales returns journal; purchases journal; purchases returns journal; cash book; general journal,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,preparation of ledger accounts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,preparation of ledger accounts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,preparation of ledger accounts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,preparation of ledger accounts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,the purpose of a trial balance,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,the purpose of a trial balance,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,the purpose of a trial balance,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,the purpose of a trial balance,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of maintaining full accounting records,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of maintaining full accounting records,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
