Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
"1 Economic, historical, moral, political and social",Suggested areas to explore,The role and value of history in modern society,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,"Wars, conflicts and terrorism",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,The state and its institutions,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,"Political systems, leadership, nationalism and forms of government",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,The role of international organisations,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,The provision and politics of aid,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Justice and the justice system; prison and rehabilitation,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,The role of the individual in society,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,"Family, marriage and partnerships, social pressure, class and social attitudes",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Globalisation and its impacts,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Wealth and equality in society,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Population and migration,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Education,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Welfare,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Sport and leisure,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Work and employment,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Industry and commerce,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,"Freedom of speech, thought and action",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
"1 Economic, historical, moral, political and social",Suggested areas to explore,Human rights,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Paper 1 Essay,8021/1,75,30,50
